,sepal_length,sepal_width,petal_length,petal_width,species
145,6.7,3.0,5.2,2.3,2
22,4.6,3.6,1.0,0.2,0
8,4.4,2.9,1.4,0.2,0
12,4.8,3.0,1.4,0.1,0
135,7.7,3.0,6.1,2.3,2
96,5.7,2.9,4.2,1.3,1
77,6.7,3.0,5.0,1.7,1
95,5.7,3.0,4.2,1.2,1
50,7.0,3.2,4.7,1.4,1
9,4.9,3.1,1.5,0.1,0
3,4.6,3.1,1.5,0.2,0
79,5.7,2.6,3.5,1.0,1
100,6.3,3.3,6.0,2.5,2
10,5.4,3.7,1.5,0.2,0
142,5.8,2.7,5.1,1.9,2
34,4.9,3.1,1.5,0.1,0
87,6.3,2.3,4.4,1.3,1
44,5.1,3.8,1.9,0.4,0
32,5.2,4.1,1.5,0.1,0
30,4.8,3.1,1.6,0.2,0
88,5.6,3.0,4.1,1.3,1
114,5.8,2.8,5.1,2.4,2
132,6.4,2.8,5.6,2.2,2
66,5.6,3.0,4.5,1.5,1
24,4.8,3.4,1.9,0.2,0
52,6.9,3.1,4.9,1.5,1
38,4.4,3.0,1.3,0.2,0
14,5.8,4.0,1.2,0.2,0
67,5.8,2.7,4.1,1.0,1
72,6.3,2.5,4.9,1.5,1
98,5.1,2.5,3.0,1.1,1
134,6.1,2.6,5.6,1.4,2
4,5.0,3.6,1.4,0.2,0
65,6.7,3.1,4.4,1.4,1
128,6.4,2.8,5.6,2.1,2
107,7.3,2.9,6.3,1.8,2
125,7.2,3.2,6.0,1.8,2
109,7.2,3.6,6.1,2.5,2
46,5.1,3.8,1.6,0.2,0
64,5.6,2.9,3.6,1.3,1
117,7.7,3.8,6.7,2.2,2
40,5.0,3.5,1.3,0.3,0
120,6.9,3.2,5.7,2.3,2
16,5.4,3.9,1.3,0.4,0
35,5.0,3.2,1.2,0.2,0
131,7.9,3.8,6.4,2.0,2
130,7.4,2.8,6.1,1.9,2
76,6.8,2.8,4.8,1.4,1
147,6.5,3.0,5.2,2.0,2
55,5.7,2.8,4.5,1.3,1
1,4.9,3.0,1.4,0.2,0
140,6.7,3.1,5.6,2.4,2
21,5.1,3.7,1.5,0.4,0
91,6.1,3.0,4.6,1.4,1
59,5.2,2.7,3.9,1.4,1
63,6.1,2.9,4.7,1.4,1
69,5.6,2.5,3.9,1.1,1
138,6.0,3.0,4.8,1.8,2
127,6.1,3.0,4.9,1.8,2
80,5.5,2.4,3.8,1.1,1
71,6.1,2.8,4.0,1.3,1
110,6.5,3.2,5.1,2.0,2
58,6.6,2.9,4.6,1.3,1
29,4.7,3.2,1.6,0.2,0
118,7.7,2.6,6.9,2.3,2
103,6.3,2.9,5.6,1.8,2
106,4.9,2.5,4.5,1.7,2
70,5.9,3.2,4.8,1.8,1
41,4.5,2.3,1.3,0.3,0
31,5.4,3.4,1.5,0.4,0
15,5.7,4.4,1.5,0.4,0
111,6.4,2.7,5.3,1.9,2
28,5.2,3.4,1.4,0.2,0
84,5.4,3.0,4.5,1.5,1
139,6.9,3.1,5.4,2.1,2
37,4.9,3.1,1.5,0.1,0
78,6.0,2.9,4.5,1.5,1
42,4.4,3.2,1.3,0.2,0
94,5.6,2.7,4.2,1.3,1
19,5.1,3.8,1.5,0.3,0
83,6.0,2.7,5.1,1.6,1
129,7.2,3.0,5.8,1.6,2
25,5.0,3.0,1.6,0.2,0
108,6.7,2.5,5.8,1.8,2
39,5.1,3.4,1.5,0.2,0
18,5.7,3.8,1.7,0.3,0
68,6.2,2.2,4.5,1.5,1
93,5.0,2.3,3.3,1.0,1
47,4.6,3.2,1.4,0.2,0
53,5.5,2.3,4.0,1.3,1
102,7.1,3.0,5.9,2.1,2
116,6.5,3.0,5.5,1.8,2
101,5.8,2.7,5.1,1.9,2
92,5.8,2.6,4.0,1.2,1
122,7.7,2.8,6.7,2.0,2
60,5.0,2.0,3.5,1.0,1
26,5.0,3.4,1.6,0.4,0
144,6.7,3.3,5.7,2.5,2
90,5.5,2.6,4.4,1.2,1
143,6.8,3.2,5.9,2.3,2
141,6.9,3.1,5.1,2.3,2
54,6.5,2.8,4.6,1.5,1
105,7.6,3.0,6.6,2.1,2
27,5.2,3.5,1.5,0.2,0
146,6.3,2.5,5.0,1.9,2
